Model,accuracy,precision,recall,f1,confusion_matrix,roc_auc
egso_cnn,0.9682679594535037,0.9683203552595923,0.9682679594535037,0.9682670718813912,"[[2209, 60], [84, 2185]]",0.9941303649841182
egso_cnn_subset3k,0.9233333333333333,0.9254465623688786,0.9233333333333333,0.9231355865965452,"[[149, 6], [17, 128]]",0.9705450500556172
hybrid_svm_knn,0.8266666666666667,0.8330531440907629,0.8266666666666667,0.8252952106935204,"[[140, 15], [37, 108]]",0.909143492769744
hybrid_svm_knn_subset3k,0.8266666666666667,0.8330531440907629,0.8266666666666667,0.8252952106935204,"[[140, 15], [37, 108]]",0.909143492769744
lstm_url,0.9620978404583517,0.9622141939143958,0.9620978404583517,0.9620954550248959,"[[2201, 68], [104, 2165]]",0.9942589495958034
lstm_url_subset3k,0.9466666666666667,0.9470317199282932,0.9466666666666667,0.9466808945800543,"[[145, 10], [6, 139]]",0.9856284760845384
rnn_gru,0.9490965182899956,0.9496695709673656,0.9490965182899956,0.9490802954483202,"[[2194, 75], [156, 2113]]",0.9908943836688996
rnn_gru_subset3k,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,"[[145, 10], [10, 135]]",0.9852280311457174
webphish_cnn,0.990304098721904,0.9903421956770846,0.990304098721904,0.9903039103883815,"[[2257, 12], [32, 2237]]",0.9992409234705958
webphish_cnn_subset3k,0.9566666666666667,0.957599749507962,0.9566666666666667,0.956609185792898,"[[152, 3], [10, 135]]",0.9911457174638487
